h_group_id,h_group_name,x_group_id,x_group_name,n_pdb_reps,n_afdb_reps,pdb_total_cys,afdb_total_cys,pdb_disulfide_pct,pdb_metal_pct,afdb_disulfide_pct,afdb_metal_pct
103.6,"FGAM synthase PurL, linker domain",103,RuvA-C,3,40,3,53,0.00,0.00,11.32,0.00
1036.1,60S ribosomal export protein NMD3 a+b domain,1036,60S ribosomal export protein NMD3 a+b domain,1,37,2,76,0.00,0.00,1.32,0.00
10.37,TerD,10,jelly-roll,0,30,0,72,,,0.00,0.00
103.7,Hypothetical protein MTH1615,103,RuvA-C,1,13,2,22,0.00,0.00,0.00,0.00
1037.1,Prolipoprotein diacylglyceryl transferase,1037,Prolipoprotein diacylglyceryl transferase,0,144,0,371,,,9.43,0.54
10.38,DUF4425,10,jelly-roll,2,0,5,0,40.00,0.00,,
103.8,"Hypothetical protein AF0491, middle domain",103,RuvA-C,1,21,1,24,0.00,0.00,0.00,0.00
1038.1,Pre-mRNA-splicing factor 8 N-terminal domain,1038,Pre-mRNA-splicing factor 8 N-terminal domain,6,6,25,38,0.00,0.00,0.00,0.00
10.39,Soluble domain of MmpS4,10,jelly-roll,2,8,4,16,100.00,0.00,100.00,0.00
103.9,RanGAP2 N-terminal domain,103,RuvA-C,1,12,1,20,0.00,0.00,0.00,0.00
10.4,"Spermadhesin, CUB domain",10,jelly-roll,30,831,86,3162,96.51,0.00,95.67,0.00
10.40,PHR domain,10,jelly-roll,2,21,5,92,0.00,0.00,3.26,0.00
1040.1,U4/U6 small nuclear ribonucleoprotein PRP3 N-terminal region,1040,U4/U6 small nuclear ribonucleoprotein PRP3 N-terminal region,0,2,0,3,,,0.00,0.00
10.41,Protein Hikeshi jelly-roll domain,10,jelly-roll,1,16,1,28,0.00,0.00,17.86,0.00
104.1,"TFIIA, alpha-helical domain",104,"TFIIA, alpha-helical domain",0,20,0,35,,,5.71,0.00
1041.1,PGL dimerization domain,1041,PGL dimerization domain,1,3,1,7,0.00,0.00,0.00,0.00
10.42,ssRNA positive-strand viruses coat protein P (projecting) domain,10,jelly-roll,5,0,10,0,20.00,0.00,,
1042.1,S2 subunit of coronavirus spike glycoprotein,1042,S2 subunit of coronavirus spike glycoprotein,27,0,205,0,99.51,0.00,,
10.43,Major structural protein 1 jelly-roll domain,10,jelly-roll,1,0,1,0,0.00,0.00,,
1043.1,Beta domain of coronavirus spike glycoprotein,1043,Beta domain of coronavirus spike glycoprotein,40,0,181,0,92.82,0.00,,
10.45,PTX/LNS-Like (PLL) domain,10,jelly-roll,1,2,3,10,0.00,0.00,90.00,0.00
1045.1,Rad50-binding domain of Mre11,1045,Rad50-binding domain of Mre11,0,12,0,19,,,5.26,0.00
1046.1,Lipoprotein signal peptidase,1046,Lipoprotein signal peptidase,0,99,0,169,,,2.96,0.00
10.47,TssK C-terminal domain,10,jelly-roll,1,3,2,4,0.00,0.00,0.00,0.00
1047.1,Baseplate wedge protein gp7 domain II,1047,Baseplate wedge protein gp7 domain II,1,0,1,0,0.00,0.00,,
10.48,Camelysin metallo-endopeptidase-like,10,jelly-roll,0,5,0,13,,,76.92,0.00
1049.1,Baseplate wedge protein gp7 helical domain,1049,Baseplate wedge protein gp7 helical domain-like,1,0,1,0,0.00,0.00,,
1049.2,Baseplate wedge protein gp6 helical domain,1049,Baseplate wedge protein gp7 helical domain-like,1,3,2,5,0.00,0.00,0.00,0.00
10.5,Viral protein domain,10,jelly-roll,52,6,319,51,94.67,0.00,100.00,0.00
1050.1,BID domain of Bartonella effector protein (Bep),1050,BID domain of Bartonella effector protein (Bep),2,1,5,4,40.00,0.00,0.00,0.00
105.1,"HLH, helix-loop-helix DNA-binding domain",105,HLH-like,21,380,28,588,0.00,0.00,1.36,1.19
1051.1,Putative 3-oxoacyl-(acyl-carrier-protein) synthase N-terminal domain,1051,Putative 3-oxoacyl-(acyl-carrier-protein) synthase N-terminal domain,0,2,0,2,,,0.00,0.00
105.2,Dimerization domain in LRIM1/APL1C,105,HLH-like,3,42,10,123,0.00,70.00,3.25,5.69
1052.1,Tas3 N-terminal domain,1052,Tas3 N-terminal domain,1,0,2,0,0.00,0.00,,
1054.1,Arginine decarboxylase C-terminal helical extension,1054,Arginine decarboxylase C-terminal helical extension,0,4,0,5,,,0.00,0.00
1055.1,N-terminal domain in NTD biosynthesis operon protein NtdA,1055,N-terminal domain in NTD biosynthesis operon protein NtdA,1,0,1,0,100.00,0.00,,
